file,mode,name,date,distance_km,notes,id,source,original_file,original_sha256,min_altitude_m,max_altitude_m,original_points,map_points,simplify_degrees
drive__0052_GraphHopper-Track.gpx,drive,Kerch → Chaplynka settlement hromada,,485.0,,r-6a11600599c5423d903f6f55618c3733,,,,,,,,
drive__0053_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Pyiterfolvo Rural Hromada,,292.4,,r-e6fbd26dd4cb4c3fb8569d74e76d4051,,,,,,,,
drive__0054_GraphHopper-Track.gpx,drive,Kherson urban hromada → Lviv Urban Hromada,,900.9,,r-fda8e41cbfd0474786a5217c5a3696e4,,,,,,,,
drive__0055_GraphHopper-Track.gpx,drive,Gouves Municipal Unit → Municipality of Apokoronas,,119.2,,r-ff5c4416d3db49ea8e1db130a393bcf7,,,,,,,,
drive__0056_GraphHopper-Track.gpx,drive,Kyiv → Чигиринська міська громада,,310.9,,r-10914bc950284b608782fc7cf56932b9,,,,,,,,
drive__0057_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols (loop),,211.6,,r-0725be99db084489ac62cfeab13dec6f,,,,,,,,
drive__0058_GraphHopper-Track.gpx,drive,Lviv Urban Hromada (loop),,227.5,,r-78a2ce03c14041109bb43baa4e27bb20,,,,,,,,
drive__0059_GraphHopper-Track.gpx,drive,Uhldingen-Mühlhofen → Schwangau,,149.7,,r-b08ff04308c84ef3bc9dedad52f81e1d,,,,,,,,
drive__0060_GraphHopper-Track.gpx,drive,Kyiv → Solotvyn Settlement Hromada,,656.5,,r-31c441c788b042c1bd99b48c11a7002c,,,,,,,,
drive__0061_GraphHopper-Track.gpx,drive,Warsaw → Oława,,354.2,,r-b7a5edc25dc84811976dd2b166fd7484,,,,,,,,
drive__0062_GraphHopper-Track.gpx,drive,Seeb Province → Ad Dakhiliyah Governorate,,172.7,,r-ecd584f3530a4aa5a87e89a2facaac22,,,,,,,,
drive__0063_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols (loop),,280.4,,r-bf39fa05ec834193910e7c4cbfaf83a8,,,,,,,,
drive__0064_GraphHopper-Track.gpx,drive,Zwierzyń → Polańczyk,,134.6,,r-f519bfe76172439e83fd56c19f6201ad,,,,,,,,
drive__0065_GraphHopper-Track.gpx,drive,Warsaw → Przemyśl,,413.8,,r-5fe68b120aec495d95b51289374b5980,,,,,,,,
drive__0066_GraphHopper-Track.gpx,drive,Warsaw → Zalesie Górne,,31.2,,r-975bea8673c34a28a4666defcddce8ec,,,,,,,,
drive__0067_GraphHopper-Track.gpx,drive,Netanya → Tamar Regional Council,,460.8,,r-0e69326cdde147a5a8c141089349b5d0,,,,,,,,
drive__0068_GraphHopper-Track.gpx,drive,Kyiv → Lviv Urban Hromada,,819.9,,r-2e4fa7fa933e41679821de331cdb43eb,,,,,,,,
drive__0069_GraphHopper-Track.gpx,drive,Lviv Urban Hromada (loop),,612.4,,r-32fadd6219ed4f768524c03347200f14,,,,,,,,
drive__0070_GraphHopper-Track.gpx,drive,Ayia Napa (loop),,347.8,,r-46a7f3fa03704fffac72fce4df8cc9ad,,,,,,,,
drive__0071_GraphHopper-Track.gpx,drive,Warsaw → Brzeg,,472.3,,r-840c36f06f4d4f2d8c6df9b2148bb556,,,,,,,,
drive__0072_GraphHopper-Track.gpx,drive,Kyiv → Balice,,894.5,,r-c500a9f287b9434e81044afb12151ef4,,,,,,,,
drive__0073_GraphHopper-Track.gpx,drive,Madrid → Sant Feliu de Guíxols,,711.5,,r-c2e02055d75741ad8c4f2b3a7fe824d8,,,,,,,,
drive__0074_GraphHopper-Track.gpx,drive,Cartagena → Villanueva de la Cañada,,765.0,,r-424ae06738964273aeaf17697896c490,,,,,,,,
drive__0075_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → Cartagena,,770.7,,r-2a9c55e5226440f9af5f7adb753612ef,,,,,,,,
drive__0076_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols → Carcassonne,,784.4,,r-491923321978477bbcff978c7437ce87,,,,,,,,
drive__0077_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols (loop),,916.8,,r-e19cf068e87a40108f37d2a3e77ace78,,,,,,,,
drive__0078_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → городской округ Железноводск,,1996.1,,r-d7441de36c4b47cc98ad57d11a428d49,,,,,,,,
drive__0079_GraphHopper-Track.gpx,drive,Santa Cristina d'Aro (loop),,472.8,,r-919c4ff15c9b45b29cb9b944ac7bb972,,,,,,,,
drive__0080_GraphHopper-Track.gpx,drive,Uhldingen-Mühlhofen → Santa Cristina d'Aro,,1065.0,,r-a1888030111d4c6a8f581ed2e74e8ac4,,,,,,,,
drive__0081_GraphHopper-Track.gpx,drive,Warsaw (loop),,17.1,,r-0cdc4dbd42ab4ca3b59311c6cd91fba7,,,,,,,,
drive__0083_GraphHopper-Track.gpx,drive,Warsaw → Poznan,,309.7,,r-7241917f1c644cfb85c52203390ca0b4,,,,,,,,
drive__0084_GraphHopper-Track.gpx,drive,Brzeg (loop),,255.0,,r-f2bbad97dde34714ae3c0843f4d9337a,,,,,,,,
drive__0085_GraphHopper-Track.gpx,drive,Kyiv → Uhldingen-Mühlhofen,,2143.8,,r-b449491e20aa49f9b8a383b5c92e9a52,,,,,,,,
drive__0086_GraphHopper-Track.gpx,drive,Sant Feliu de Guíxols (loop),,1573.0,,r-db39f2fb178444bb80b010cc2d118114,,,,,,,,
drive__0087_GraphHopper-Track.gpx,drive,Seeb Province (loop),,143.4,,r-ab65440a17bc4febb8f5992471f8f979,,,,,,,,
drive__0090_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Grad Pula,,1824.1,,r-262e7be5861f4332bc0a6753f9291806,,,,,,,,
drive__0091_GraphHopper-Track.gpx,drive,Lviv Urban Hromada (loop),,2404.8,,r-f2f16581fec2484cb221460a59ca39e6,,,,,,,,
drive__0092_GraphHopper-Track.gpx,drive,Warsaw → Lipków,,18.7,,r-defa8a862bb44e259c3dca0d62b20a9e,,,,,,,,
